,city_fuel_economy,engine_displacement,franchise_make,fuel_tank_volume,height,highway_fuel_economy,length,mileage,model_name,owner_count,power,savings_amount,torque,trimId,wheelbase,width,year,wheel_system_cat,wheel_system_display_cat,body_type_Sedan,engine_cylinders_I4,engine_cylinders_V6,transmission_display_8_Speed_Automatic
3359,22.0,2400.0,0,16.4,65.2,29.0,176.4,29262.0,1,1.0,181,89,175,66998,105.1,73.0,2017,3,3,0,1,0,0
3361,21.0,2400.0,0,18.8,69.3,31.0,187.8,57691.0,1,3.0,182,973,172,67424,112.5,72.5,2017,3,3,0,1,0,0
3362,18.0,3600.0,1,18.5,57.5,27.0,197.9,25736.0,3,1.0,305,572,268,74965,116.2,85.8,2018,2,1,0,0,1,1
3363,15.0,3500.0,0,36.0,76.7,21.0,231.9,121987.0,2,2.0,411,1120,434,46476,144.5,97.0,2013,0,2,0,0,1,0
3364,15.0,3500.0,1,20.4,71.7,20.0,188.0,271710.0,2,2.0,244,1946,240,31703,106.3,77.5,2008,0,2,0,0,1,0
3365,23.0,2000.0,0,16.5,58.2,34.0,191.8,23196.0,0,1.0,181,1033,185,66967,112.2,83.5,2017,3,3,1,1,0,0
3366,25.0,2400.0,1,18.5,58.1,35.0,191.1,35020.0,1,1.0,185,1104,178,75448,110.4,73.4,2018,3,3,1,1,0,0
3367,25.0,1800.0,0,13.2,57.2,35.0,167.5,69125.0,1,1.0,170,1938,199,72724,103.8,70.8,2017,3,3,0,1,0,0
3368,27.0,2500.0,3,18.0,57.8,39.0,191.9,24567.0,1,1.0,182,344,180,76337,109.3,72.0,2017,3,3,1,1,0,0
3369,23.0,2500.0,0,15.9,67.5,29.0,183.5,12283.0,2,1.0,176,294,172,74771,104.7,72.6,2018,3,3,0,1,0,0
3370,22.0,2400.0,1,15.9,65.7,31.0,182.0,67699.0,1,2.0,271,336,239,58513,106.3,73.2,2016,3,3,0,1,0,0
3371,16.0,3500.0,1,18.6,71.0,23.0,198.3,89025.0,2,1.0,290,380,255,57449,112.8,90.2,2016,2,1,0,0,1,0
3372,26.0,2500.0,0,14.5,68.0,33.0,184.5,33322.0,1,1.0,170,1970,175,83705,106.5,72.4,2019,3,3,0,1,0,0
3373,15.0,5700.0,4,26.0,78.5,21.0,229.0,111733.0,3,1.0,395,145,410,70265,140.5,79.4,2017,0,2,0,0,0,1
3375,17.0,3600.0,0,19.0,54.2,28.0,190.6,54579.0,2,3.0,323,687,278,51633,112.3,75.5,2014,4,4,0,0,1,0
3376,17.0,3700.0,4,20.0,62.7,24.0,186.8,45396.0,2,1.0,325,106,267,68096,113.4,71.0,2017,4,4,0,0,1,0
3377,22.0,2500.0,3,18.5,57.6,34.0,191.5,49650.0,1,1.0,197,2253,191,43797,107.8,73.0,2013,3,3,1,1,0,0
3379,16.0,4000.0,0,23.0,69.3,21.0,189.2,243135.0,1,2.0,236,323,266,34412,109.8,75.2,2009,1,0,0,0,1,0
3381,28.0,1800.0,0,13.2,57.3,35.0,183.1,42257.0,0,1.0,132,878,128,78889,106.3,69.9,2019,3,3,1,1,0,0
3382,18.0,2000.0,0,14.2,57.7,25.0,183.9,50624.0,0,1.0,160,249,148,69273,106.4,72.0,2016,3,3,1,0,0,0
3383,29.0,1500.0,1,14.8,57.1,35.0,192.2,36750.0,1,1.0,192,427,192,75510,111.4,73.3,2018,3,3,1,1,0,0
3384,17.0,3500.0,1,19.2,68.7,24.0,188.1,58706.0,1,1.0,280,1691,250,69478,112.2,85.8,2017,2,1,0,0,1,0
